feature,importance
google_index,0.17089512012333358
page_rank,0.10575416886931759
nb_hyperlinks,0.08027956023163389
web_traffic,0.07551162206849037
nb_www,0.04278420988421454
ratio_extHyperlinks,0.036159133688302744
domain_age,0.03098741092414679
ratio_intHyperlinks,0.029063061244631122
longest_word_path,0.027257400728690394
safe_anchor,0.02537674598445646
phish_hints,0.02193612726413682
ratio_extRedirection,0.019711676894024074
length_url,0.018273232355243585
ratio_digits_url,0.017410951914329974
length_hostname,0.016366269743403595
length_words_raw,0.016098404191143535
links_in_tags,0.015614665101770411
longest_words_raw,0.015333207098241488
avg_word_path,0.013496463776226328
char_repeat,0.013140458691595039
domain_registration_length,0.012418678856100297
ratio_digits_host,0.012023988860871294
nb_slash,0.011851846251562543
domain_in_title,0.011715176174339792
shortest_word_path,0.010960134888330317
shortest_word_host,0.010887760452753104
nb_dots,0.010842144047277767
avg_words_raw,0.01003511937079566
nb_hyphens,0.009589118445042474
avg_word_host,0.00860395686526772
longest_word_host,0.007329239868301893
nb_eq,0.00699350520179669
shortest_words_raw,0.0068395658794976125
ip,0.006304958284160456
nb_qm,0.006103284210238182
domain_with_copyright,0.005864651010882421
ratio_extErrors,0.005602219488668867
ratio_extMedia,0.005410340370380716
ratio_intMedia,0.004397078282479506
nb_subdomains,0.004348443770405783
nb_redirection,0.003879383866826864
domain_in_brand,0.0038001228534683524
nb_extCSS,0.0036069334718303635
nb_underscore,0.0025560614783345066
shortening_service,0.0023121880270733494
https_token,0.0021383275822751784
prefix_suffix,0.00193355060947738
external_favicon,0.0019209226230283538
empty_title,0.0019121227154015915
nb_and,0.0014208687397717305
dns_record,0.0013694095804056272
nb_percent,0.0013060039381981694
suspecious_tld,0.0011944759696001978
statistical_report,0.0011699167806526996
http_in_path,0.0009855248410390596
login_form,0.0009182296918952446
whois_registered_domain,0.0009139690690173216
nb_space,0.0008627399133787464
random_domain,0.0008589448646566775
nb_com,0.0008413821100027376
tld_in_subdomain,0.0007084842054862152
nb_colon,0.0006528591753898664
tld_in_path,0.0005630986438227486
nb_semicolumn,0.00047194913096654424
abnormal_subdomain,0.0004477220763760279
nb_at,0.00038348901588884985
nb_dslash,0.00027870944843689957
port,0.00023990197567484392
brand_in_path,0.00020373519125588046
popup_window,0.0001874197525212487
nb_tilde,9.710119867379198e-05
right_clic,8.544814792512918e-05
iframe,5.357574023644958e-05
nb_comma,5.263334445345834e-05
brand_in_subdomain,4.681588648456493e-05
path_extension,3.030248301808304e-05
onmouseover,1.747410955622962e-05
nb_external_redirection,4.867602973112881e-06
nb_star,1.1196014218937013e-06
nb_dollar,1.113186618703675e-06
punycode,5.0702555497632834e-20
nb_or,0.0
ratio_intRedirection,0.0
submit_email,0.0
ratio_intErrors,0.0
ratio_nullHyperlinks,0.0
sfh,0.0
