feature,missing,nunique
length_url,0,324
length_hostname,0,83
ip,0,2
nb_dots,0,19
nb_hyphens,0,27
nb_at,0,5
nb_qm,0,4
nb_and,0,15
nb_or,0,1
nb_eq,0,16
nb_underscore,0,17
nb_tilde,0,2
nb_percent,0,25
nb_slash,0,22
nb_star,0,2
nb_colon,0,6
nb_comma,0,5
nb_semicolumn,0,15
nb_dollar,0,5
nb_space,0,9
nb_www,0,3
nb_com,0,7
nb_dslash,0,2
http_in_path,0,5
https_token,0,2
ratio_digits_url,0,1414
ratio_digits_host,0,241
punycode,0,2
port,0,2
tld_in_path,0,2
tld_in_subdomain,0,2
abnormal_subdomain,0,2
nb_subdomains,0,3
prefix_suffix,0,2
random_domain,0,2
shortening_service,0,2
path_extension,0,2
nb_redirection,0,7
nb_external_redirection,0,2
length_words_raw,0,54
char_repeat,0,55
shortest_words_raw,0,25
shortest_word_host,0,34
shortest_word_path,0,33
longest_words_raw,0,119
longest_word_host,0,49
longest_word_path,0,120
avg_words_raw,0,896
avg_word_host,0,174
avg_word_path,0,757
phish_hints,0,9
domain_in_brand,0,2
brand_in_subdomain,0,2
brand_in_path,0,2
suspecious_tld,0,2
statistical_report,0,3
nb_hyperlinks,0,691
ratio_intHyperlinks,0,3131
ratio_extHyperlinks,0,3131
ratio_nullHyperlinks,0,1
nb_extCSS,0,33
ratio_intRedirection,0,1
ratio_extRedirection,0,894
ratio_intErrors,0,1
ratio_extErrors,0,635
login_form,0,2
external_favicon,0,2
links_in_tags,0,473
submit_email,0,1
ratio_intMedia,0,490
ratio_extMedia,0,490
sfh,0,1
iframe,0,2
popup_window,0,2
safe_anchor,0,1083
onmouseover,0,2
right_clic,0,2
empty_title,0,2
domain_in_title,0,2
domain_with_copyright,0,2
whois_registered_domain,0,2
domain_registration_length,0,1659
domain_age,0,4430
web_traffic,0,4744
dns_record,0,2
google_index,0,2
page_rank,0,11
