index,split
10415,train
7511,train
9420,train
3597,train
10855,train
11212,train
4673,train
5113,train
7653,train
6675,train
1155,train
6570,train
5993,train
3816,train
5340,train
1868,train
8936,train
3560,train
2103,train
8268,train
6115,train
6191,train
7435,train
9310,train
8617,train
9742,train
7181,train
8216,train
3472,train
6665,train
3522,train
5787,train
6176,train
9929,train
6842,train
6593,train
518,train
10889,train
10402,train
0,train
4058,train
3723,train
8593,train
9109,train
9355,train
9954,train
8601,train
1008,train
9305,train
3475,train
4581,train
5106,train
1361,train
6169,train
499,train
1494,train
5639,train
7498,train
4816,train
10065,train
7569,train
10418,train
10292,train
2105,train
7767,train
10850,train
8744,train
1268,train
7128,train
10357,train
1218,train
4664,train
3205,train
9058,train
2230,train
9474,train
4439,train
9090,train
2317,train
3381,train
10260,train
5765,train
1455,train
6960,train
10168,train
693,train
5888,train
10257,train
4812,train
4181,train
1619,train
7776,train
1351,train
5959,train
4535,train
10540,train
6614,train
7148,train
9265,train
8568,train
4398,train
8754,train
9267,train
8616,train
7218,train
8467,train
3076,train
6546,train
6460,train
905,train
7316,train
4507,train
1174,train
9650,train
1584,train
2420,train
6768,train
62,train
7778,train
6083,train
4557,train
11078,train
3206,train
9281,train
1778,train
1750,train
7852,train
4128,train
7950,train
187,train
2842,train
11062,train
2071,train
3225,train
5011,train
9363,train
6993,train
2595,train
10173,train
10609,train
3160,train
6747,train
3086,train
8818,train
5315,train
3895,train
4278,train
1269,train
2857,train
2349,train
796,train
4908,train
7543,train
1938,train
3450,train
5343,train
10053,train
8491,train
4312,train
3527,train
675,train
8191,train
4118,train
10482,train
9080,train
8956,train
4316,train
6254,train
5001,train
8264,train
33,train
9923,train
10137,train
983,train
4914,train
849,train
9690,train
6133,train
2610,train
7975,train
1595,train
5633,train
2952,train
1049,train
634,train
6953,train
1214,train
2391,train
792,train
10109,train
2774,train
8148,train
9020,train
707,train
6601,train
7930,train
2593,train
10314,train
2711,train
3827,train
5549,train
4892,train
4928,train
6779,train
2393,train
8445,train
8899,train
2166,train
6307,train
5048,train
8094,train
1162,train
7984,train
4259,train
5368,train
6986,train
412,train
3061,train
5578,train
5079,train
3802,train
6422,train
1726,train
3077,train
6343,train
4459,train
2407,train
3352,train
3485,train
7900,train
10707,train
8368,train
8172,train
3270,train
1682,train
801,train
2970,train
10868,train
8974,train
5246,train
2400,train
9694,train
2597,train
8157,train
5380,train
8890,train
2542,train
4379,train
9235,train
3326,train
8366,train
10158,train
47,train
4718,train
2569,train
7641,train
329,train
10561,train
4399,train
7192,train
7895,train
9498,train
6459,train
